Індекс,Н1 - Регулятивний капітал,Н2 - Норматив достатності регулятивного капіталу,Н3 - Норматив достатності основного капіталу,LCR - Коефіцієнт покриття ліквідністю,Н6 - Норматив короткострокової ліквідності,Н7 - Норматив максимального розміру кредитного ризику на одного контрагента,Н8 - Норматив великих кредитних ризиків,Н9 - Норматив максимального розміру кредитного ризику за операціями з пов’язаними особами,Н11 - Норматив інвестування в цінні папери окремо за кожною установою,Н12 - Норматив загальної суми інвестування,Н13-1 - Норматив ризику загальної довгої відкритої валютної позиції,Н13-2 - Норматив ризику загальної короткої відкритої валютної позиції,Коефіцієнт автономії,Адекватність капіталу,Частка резервів під знецінення кредитів,NIM - Чиста процентна маржа,CIR - Ефективність витрат,OROA - Операційна рентабельність,ROA - Рентабельність активів,ROE - Рентабельність власного капіталу,Відношення грошових коштів до зобов'язань,Відношення грошових коштів до активів,Частка ліквідних активів у загальних активах,Частка непрофільних активів банку,Доступ до ресурсів і надійність бенефіціара
3.1,0,0,0,0,0,0,0,0,0,0,0,0,11.24,6.05,4.94,6.99,65.89,3.28,00.57,05.03,7.91,6.86,33.77,2.41,4.00
3.2,10339360,27.38,19.93,314.44,0,11.55,57.36,10.67,0.00,0.00,3.77,0.03,11.56,5.71,8.27,7.67,51.22,5.19,1.63,14.10,7.16,6.15,36.29,2.28,4.00
3.1,11399735,34.08,26.83,314.62,0,11.82,44.59,11.84,0.00,0.00,4.19,0.02,12.00,5.23,13.36,8.65,40.92,6.92,2.88,24.03,7.08,5.99,38.01,2.10,4.00
3.3,12735303,41.55,28.72,307.64,0,10.21,21.66,3.44,0.00,0.00,2.16,1.21,12.02,4.66,20.03,9.06,39.76,6.96,3.25,27.02,8.69,7.33,38.28,2.02,4.00
3.4,14527927,51.72,31.36,579.50,0,12.59,29.91,0.29,0.00,0.00,2.23,0.91,12.94,4.42,20.01,12.07,39.15,8.10,6.09,47.05,16.45,13.76,45.35,2.01,4.00
3.1,0,0,0,0,0,0,0,0,0,0,0,0,9.22,21.29,15.55,6.20,70.93,2.82,0.41,4.48,7.74,6.63,26.65,3.99,4.00
2.6,13653677,11.39,9.29,291.94,0,23.97,199.31,0.43,0.01,0.01,189.46,0.56,7.61,21.95,17.91,6.41,84.16,1.20,03.53,046.45,6.43,5.52,26.19,3.98,4.00
2.9,21000246,16.11,11.07,312.28,0,13.48,93.79,0.24,0.00,0.01,180.81,0.08,9.84,20.48,21.71,6.45,47.01,6.75,1.48,15.00,7.53,6.19,29.91,3.79,4.00
2.8,19427446,14.48,10.52,312.43,0,9.79,80.07,0.26,0.00,0.01,214.82,0.03,8.16,18.44,23.03,6.23,55.79,4.47,0.25,3.11,6.52,5.47,27.92,3.41,4.00
2.8,19775648,14.34,10.26,288.87,0,11.41,88.13,0.12,0.00,0.01,239.88,0.13,8.67,17.84,23.54,8.20,71.07,2.04,2.99,34.45,14.40,12.04,33.90,3.30,4.00
3.0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,7.18,5.19,7.62,53.86,4.02,0.51,4.05,6.23,5.27,18.34,3.70,4.00
3.0,3810170,17.89,16.41,189.93,0,11.52,22.16,0.34,0.00,0.00,4.40,0.01,12.44,6.95,8.37,7.42,44.73,5.48,0.36,2.90,6.80,5.66,22.11,3.51,4.00
2.9,3605636,18.65,18.09,188.18,0,15.21,50.22,0.51,0.00,0.00,4.00,0.10,11.21,6.39,11.58,6.72,46.43,4.99,0.26,2.31,9.17,7.68,19.16,3.19,4.00
3.0,3726975,21.63,20.26,209.26,0,15.67,56.59,0.30,0,0,4.06,0.06,10.36,5.77,16.34,7.14,45.58,4.88,0.37,3.53,19.10,16.03,28.63,2.77,4.00
2.8,4097571,25.79,21.91,204.35,0,14.56,39.69,0.32,0,0,2.76,0.06,10.67,5.50,18.65,8.02,38.15,6.09,2.72,25.48,9.58,7.98,17.77,2.64,4.00
2.5,0,0,0,0,0,0,0,0,0,0,0,0,10.56,5.11,7.14,4.90,46.20,2.97,09.88,093.58,2.93,2.48,18.56,1.73,4.00
2.7,3217391,12.97,12.97,128.13,0,11.51,11.51,1.54,0.02,0.02,3.23,0.00,9.86,4.99,8.48,4.92,43.73,3.06,05.76,058.44,3.50,2.95,19.97,1.66,4.00
2.6,3395329,15.34,12.13,165.16,0,9.38,9.38,1.68,0.02,0.03,2.79,0.16,7.89,7.02,12.67,4.56,44.86,2.87,05.85,074.21,3.87,3.25,23.82,1.57,4.00
2.6,3412923,17.10,13.20,174.48,0,8.51,0,2.40,0.02,0.03,3.31,0.50,7.15,7.20,15.68,4.90,42.79,3.19,04.99,069.83,4.65,3.89,25.92,1.53,4.00
2.8,3291004,18.12,13.74,192.13,0,7.66,0,3.05,0.02,0.03,3.62,0.49,7.18,6.98,15.66,6.22,39.84,3.81,2.47,34.44,12.36,10.35,31.82,0.86,4.00
3.0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,3.27,5.88,6.21,44.20,4.34,0.05,0.51,6.42,5.57,15.41,1.88,4.00
2.8,6656670,16.89,10.60,171.42,0,22.22,62.33,0.33,0.01,0.00,1.17,0.00,10.10,3.39,9.14,7.31,39.72,5.44,0.10,1.00,6.06,5.16,17.08,1.93,4.00
2.7,6725286,18.20,15.46,203.97,0,21.68,74.66,0.30,0.01,0.00,3.60,0.02,9.13,3.43,13.40,7.67,34.47,6.17,0.05,0.53,5.78,4.88,17.49,1.70,4.00
2.6,6633959,18.80,15.94,228.92,0,21.55,68.33,0.58,0.01,0,3.34,0,8.38,3.13,18.60,7.71,32.48,6.16,0.04,0.51,4.22,3.54,19.82,1.64,4.00
2.7,6698451,19.60,16.54,226.41,0,21.34,66.09,0.62,0.01,0,3.48,0.03,7.34,2.69,23.94,9.51,29.15,6.88,0.49,6.61,11.67,9.88,32.45,1.33,4.00
2.7,0,0,0,0,0,0,0,0,0,0,0,0,15.42,10.62,1.12,5.11,137.03,02.23,02.31,015.00,5.89,4.95,18.36,5.03,4.00
2.8,969726,17.99,16.92,191.65,0,22.89,229.92,0.12,0.00,0.00,1.55,0.02,15.89,11.15,1.47,5.63,120.31,01.41,01.83,011.51,6.86,5.72,19.36,4.99,4.00
2.5,842045,16.50,15.38,203.42,0,28.81,269.82,0.10,0.00,0.00,1.77,1.43,13.30,10.10,4.09,5.78,111.63,00.82,02.59,019.50,5.70,4.85,24.60,4.48,4.00
2.4,678658,13.87,12.70,176.32,0,33.18,337.86,19.63,0,0,0.56,2.46,10.77,9.58,8.16,5.91,114.11,00.98,04.06,037.72,4.81,4.16,24.10,5.44,4.00
2.6,719410,15.55,14.31,322.25,0,28.87,275.97,18.36,0,0,0.99,0.48,10.28,9.19,8.51,6.33,116.20,01.06,00.18,01.77,13.48,11.74,33.92,4.90,4.00
2.7,0,0,0,0,0,0,0,0,0,0,0,0,8.65,11.63,11.27,5.39,73.02,1.84,04.92,056.88,7.28,6.16,11.93,1.32,4.00
2.7,9691115,13.87,12.43,100.23,0,16.62,295.61,0.25,0.07,0.14,1.97,0.33,6.47,10.38,13.20,5.03,60.72,2.37,04.99,077.14,7.98,6.86,21.33,1.12,4.00
2.6,8183629,10.88,10.79,122.35,0,20.56,409.31,0.26,0.09,0.17,0.62,0.54,4.29,9.09,14.98,3.92,58.81,2.10,03.06,071.28,8.07,7.07,27.28,1.00,4.00
2.5,7602083,10.88,10.79,142.73,0,23.10,417.30,0.30,0.09,0.18,2.36,0.13,5.65,10.09,15.88,4.22,57.02,2.45,02.09,036.92,6.29,5.38,21.16,1.18,4.00
2.6,8558142,12.38,12.29,206.53,0,19.79,340.73,0.21,0.08,0.16,1.85,0.23,5.62,9.06,16.48,3.27,62.15,1.88,3.90,69.40,8.04,6.92,24.87,1.04,4.00
2.6,0,0,0,0,0,0,0,0,0,0,0,0,15.54,7.20,16.65,25.58,43.33,15.29,2.01,12.96,7.38,5.50,10.46,3.05,2.00
2.5,2270426,14.72,8.33,719.67,0,12.99,24.58,0.33,0.00,0.00,0.18,1.22,15.51,7.43,27.61,26.15,32.22,23.10,0.09,0.56,8.01,5.53,13.09,3.02,2.00
2.7,2254861,19.26,10.86,917.93,0,15.63,41.46,0.30,0.00,0.00,0.86,0.00,14.31,6.51,36.42,23.77,31.43,21.22,0.96,6.73,12.48,8.54,18.82,2.70,2.00
2.7,2134215,20.02,16.59,1206.83,0,16.05,42.34,0.16,0,0,0.93,1.23,13.71,8.51,39.57,17.81,35.80,16.00,1.25,9.13,12.00,8.34,19.57,2.39,2.00
2.5,2380066,21.88,16.30,1323.03,0,14.65,27.78,0.57,0,0,1.87,0,13.09,7.84,41.46,14.68,47.57,9.56,2.21,16.92,12.17,8.54,21.00,2.14,2.00
2.5,0,0,0,0,0,0,0,0,0,0,0,0,12.64,46.12,2.48,5.78,97.82,0.15,00.35,02.76,4.53,3.91,13.89,3.70,3.00
2.6,622615,20.15,19.69,239.37,0,19.05,125.76,0.02,0.00,0.00,2.15,0.36,12.57,51.21,6.53,6.95,87.51,1.00,03.14,024.96,5.76,4.87,22.39,3.82,3.00
2.5,526115,17.37,17.18,248.00,0,20.99,162.32,0.01,0.00,0.00,1.38,0.62,11.16,49.44,10.59,6.92,77.57,1.92,03.29,029.49,5.80,4.89,26.84,3.56,3.00
2.6,562613,19.66,19.46,252.74,0,19.75,134.04,0.01,0,0,3.33,0.33,9.67,41.41,13.21,6.32,72.20,2.18,01.77,018.27,7.03,6.03,25.21,2.95,3.00
2.5,556836,20.13,19.87,445.28,0,19.10,122.37,0.01,0,0,4.00,0.31,9.54,38.66,14.41,7.25,65.65,2.92,2.22,23.29,12.58,10.82,30.72,2.74,3.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,10.47,6.71,13.10,13.26,58.90,7.22,00.70,06.68,3.88,3.27,20.47,0.37,2.00
2.4,8236868,19.14,15.39,317.20,0,13.50,25.67,4.78,0.00,0.00,0.58,0.00,11.87,7.20,20.72,12.80,38.61,13.98,0.86,7.22,4.85,3.85,16.28,0.42,2.00
2.6,8966020,25.56,18.85,499.03,0,14.53,82.32,5.31,0.00,0.00,0.27,0.16,10.74,6.03,27.81,12.49,37.73,13.32,1.68,15.66,7.40,5.88,24.23,0.38,2.00
2.6,9603454,25.52,17.32,540.42,0,14.79,65.72,1.85,0,0,0.90,0,10.55,4.88,27.82,11.19,40.39,10.65,2.79,26.44,5.33,4.33,26.63,0.34,2.00
2.5,10460638,26.55,16.52,647.39,0,13.96,76.11,1.60,0,0,1.22,0,11.32,4.73,27.14,14.58,58.95,7.73,3.71,32.74,11.94,9.61,33.34,0.35,2.00
2.7,0,0,0,0,0,0,0,0,0,0,0,0,5.48,26.17,20.57,3.14,94.84,0.09,04.30,078.42,5.02,4.28,27.71,1.51,4.00
2.5,14805580,16.57,9.63,165.75,0,18.16,218.63,0.24,0.04,0.04,2.31,0.05,4.88,23.93,22.24,2.78,32.94,2.75,02.47,050.62,2.83,2.42,34.54,1.37,4.00
2.5,11096357,11.50,7.38,172.05,0,23.20,520.52,0.24,0.04,0.04,0.15,0.64,1.38,23.14,26.74,2.20,42.77,1.92,04.91,0355.66,3.93,3.38,34.22,1.22,4.00
2.4,7770221,7.66,3.84,176.73,0,33.82,642.35,0.28,0.06,0.06,0.50,1.40,1.72,21.01,19.88,1.85,45.83,1.58,02.91,0169.09,4.01,3.61,38.82,1.09,4.00
2.5,8559674,9.18,5.04,274.23,0,30.48,647.93,0.29,0.06,0.06,0.36,0.55,2.18,19.77,20.61,0.89,64.79,0.81,1.82,83.51,5.49,4.94,37.73,1.09,4.00
3.3,0,0,0,0,0,0,0,0,0,0,0,0,36.23,15.74,0.23,6.01,84.84,1.14,0.85,2.34,5.74,3.66,52.35,0.33,4.00
3.3,639073,106.34,53.17,551.00,0,0.96,0.00,0.00,0.00,0.00,4.29,0.00,26.17,10.96,0.23,5.41,59.56,2.73,2.18,8.34,4.87,3.59,31.99,1.81,4.00
3.3,639441,158.78,79.39,920.80,0,1.20,0.00,0.00,0.00,0.00,3.92,0.47,21.36,8.27,0.23,5.67,42.18,3.99,3.26,15.26,3.30,2.60,25.91,1.23,4.00
3.5,638329,136.56,68.28,1381.90,0,1.20,0,0,0,0,1.32,0.85,15.76,5.66,0.23,5.29,35.24,3.72,2.82,17.91,9.57,8.04,21.70,0.78,4.00
3.3,638413,115.88,57.94,970.97,0,1.20,0,0.61,0,0,1.67,3.30,18.03,5.88,0.23,10.47,22.38,7.90,6.57,36.45,7.27,5.94,27.69,0.72,4.00
2.4,0,0,0,0,0,0,0,0,0,0,0,0,13.02,4.95,11.96,12.85,44.63,8.31,0.77,5.91,5.47,4.41,17.36,2.30,2.00
2.3,12338868,15.81,9.63,185.47,0,8.52,0.00,8.98,0.00,0.00,4.08,0.01,12.61,4.77,15.66,12.12,37.30,9.18,0.44,3.46,4.55,3.62,18.33,2.19,2.00
2.3,10718474,15.86,11.15,212.98,0,14.45,55.29,10.23,0.00,0.00,3.50,0.00,11.42,4.51,19.54,11.47,36.39,8.69,0.06,0.53,6.76,5.36,21.38,2.01,2.00
2.3,12451101,19.70,11.43,248.62,0,13.45,13.45,8.34,0,0,0.36,0.22,10.46,4.28,26.10,10.13,35.03,8.98,00.36,03.40,6.10,4.78,19.53,2.22,2.00
2.3,12810716,21.30,12.35,341.85,0,14.83,42.00,4.13,0,0,3.61,0,11.92,4.27,22.86,10.50,41.50,7.39,5.52,46.27,11.91,9.38,28.25,1.98,2.00
2.5,0,0,0,0,0,0,0,0,0,0,0,0,10.42,5.70,6.11,5.84,68.98,2.47,2.24,21.52,7.22,6.23,17.29,2.64,2.00
2.5,4341376,19.80,11.33,312.69,0,11.01,53.82,2.34,0.01,0.06,1.73,2.66,12.04,6.37,10.35,7.01,42.93,6.98,1.82,15.10,9.96,8.22,21.41,2.73,2.00
2.2,4212058,18.79,11.10,188.13,0,13.93,124.01,2.56,0.01,0.06,1.01,2.60,10.87,5.83,14.18,6.39,42.29,6.61,1.20,11.05,9.29,7.63,26.36,2.26,2.00
2.1,4572284,23.14,12.48,242.04,0,13.60,80.86,2.32,0.01,0.05,1.23,2.95,9.18,4.81,19.46,5.46,42.31,5.55,0.89,9.70,6.69,5.61,20.50,1.84,2.00
2.2,4467227,21.88,12.27,315.72,0,13.92,87.90,0.40,0.01,0.04,0.42,2.91,9.82,4.72,21.49,6.65,47.38,4.67,2.81,28.61,15.45,12.82,33.10,1.76,2.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,10.94,7.56,12.05,6.01,62.57,3.22,1.87,17.10,4.38,3.79,20.48,1.19,1.00
2.1,322206,28.76,22.01,1156.07,0,18.58,88.21,14.46,0.00,0.00,4.24,0.13,11.43,7.86,13.57,5.44,68.98,2.26,1.09,9.51,12.95,11.10,21.95,1.07,1.00
2.1,334389,35.45,26.08,175.36,0,21.48,68.80,12.45,0.00,0.00,4.82,0.14,13.60,9.25,13.91,5.49,74.87,1.99,0.99,7.29,8.74,7.26,14.55,1.18,1.00
2.1,358407,40.89,27.23,435.21,0,20.03,51.99,8.82,0,0,3.94,0.10,11.50,7.94,14.58,5.63,71.80,2.16,1.27,11.07,5.31,4.54,10.40,1.23,1.00
2.2,434721,52.30,30.29,297.83,0,16.26,31.47,5.43,0,0,4.96,0.08,12.19,7.79,17.41,16.09,54.83,5.20,2.85,23.40,41.47,35.07,39.77,1.13,1.00
2.5,0,0,0,0,0,0,0,0,0,0,0,0,7.42,6.60,3.22,6.27,73.23,2.56,1.53,20.57,7.16,6.51,13.04,1.13,2.00
2.2,1668158,15.75,9.39,157.16,0,17.89,180.45,2.43,0.00,0.00,4.40,0.00,7.87,6.92,6.26,6.96,57.32,4.94,1.22,15.46,9.31,8.29,23.49,1.08,2.00
2.2,1711075,15.92,9.23,157.81,0,21.45,231.72,0.09,0.00,0.00,3.60,0.76,7.51,6.98,10.00,6.52,48.89,6.55,1.18,15.77,10.13,8.89,26.61,0.95,2.00
2.2,1926293,18.51,12.19,198.86,0,17.16,123.61,0.08,0,0,4.74,0,7.60,7.75,10.49,5.90,50.22,5.97,1.47,19.31,8.32,7.31,23.19,0.93,2.00
2.2,2097652,21.21,12.79,179.78,0,17.49,118.17,0.08,0,0,4.35,0,8.40,7.74,12.17,8.91,46.91,7.14,3.33,39.65,16.03,13.88,28.27,0.89,2.00
2.2,0,0,0,0,0,0,0,0,0,0,0,0,9.37,5.69,12.18,5.04,80.72,3.82,2.48,26.46,17.87,15.78,19.58,3.30,1.00
2.2,517214,22.13,18.07,374.65,0,21.69,52.42,1.78,0.00,0.00,2.02,1.45,14.57,11.71,20.59,9.91,64.95,10.61,4.28,29.39,21.60,17.39,25.21,4.42,1.00
2.3,578217,28.72,20.95,536.20,0,22.30,61.69,2.37,0.00,0.00,2.18,0.07,15.38,11.59,24.79,8.17,67.63,10.36,4.10,26.65,16.74,13.18,20.61,5.24,1.00
2.1,692564,39.88,23.86,218.25,0,22.56,76.71,1.45,0,0,0.20,0.82,13.19,8.02,20.78,5.86,64.33,8.49,4.68,35.47,14.60,12.08,16.15,3.83,1.00
2.2,751074,44.69,24.83,268.39,0,23.43,51.94,0.70,0,0,0.10,0.30,18.42,10.38,22.83,17.76,63.92,13.39,5.31,28.81,24.09,18.22,25.89,4.88,1.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,16.66,17.53,1.82,5.31,103.16,00.21,0.18,1.06,4.06,3.35,20.84,2.35,1.00
2.1,323036,24.70,20.22,262.68,0,12.35,22.71,0.00,0.00,0.00,4.16,0.00,15.38,17.82,3.93,5.32,113.37,00.82,02.94,019.15,6.24,5.16,25.51,2.41,1.00
2.2,328808,24.78,19.27,312.91,0,12.05,12.05,3.06,0.00,0.00,3.72,0.00,13.52,17.40,6.07,4.72,105.75,00.34,02.96,021.88,5.64,4.73,29.51,2.28,1.00
2.2,338863,29.92,22.09,610.46,0,11.70,11.70,0.02,0,0,3.49,0,10.74,14.29,9.76,4.42,97.27,0.15,02.34,021.77,7.73,6.67,29.69,1.77,1.00
2.2,356889,26.66,18.98,404.17,0,11.17,11.17,0.00,0,0,2.85,0,8.41,10.47,10.26,5.33,60.81,2.39,2.30,27.32,9.48,8.46,56.66,1.33,1.00
1.9,0,0,0,0,0,0,0,0,0,0,0,0,27.02,14.26,2.87,6.93,99.61,0.04,00.61,02.27,6.70,4.80,10.56,9.67,1.00
2.0,715300,32.30,29.14,432.27,0,23.69,97.03,15.46,0.01,0.01,0.91,0.22,27.00,17.36,3.90,7.51,76.04,2.30,0.35,1.31,7.78,5.54,12.41,9.33,1.00
2.0,757520,33.16,29.30,399.95,0,21.36,102.97,14.90,0.01,0.01,0.12,2.34,26.26,16.42,5.86,7.85,61.60,3.87,1.17,4.44,7.12,5.08,13.25,8.76,1.00
1.9,778992,35.53,30.23,449.82,0,18.16,78.94,14.59,0.01,0.01,0.92,0.94,21.15,13.07,10.30,6.79,54.71,4.01,0.96,4.54,4.66,3.53,10.44,6.97,1.00
2.1,818361,37.81,30.68,759.98,0,17.51,83.62,13.20,0.01,0.01,1.32,0.91,25.13,14.64,10.50,11.02,44.58,6.77,5.69,22.65,14.98,10.72,20.42,7.75,1.00
