Індекс,Н1 - Регулятивний капітал,Н2 - Норматив достатності регулятивного капіталу,Н3 - Норматив достатності основного капіталу,LCR - Коефіцієнт покриття ліквідністю,Н6 - Норматив короткострокової ліквідності,Н7 - Норматив максимального розміру кредитного ризику на одного контрагента,Н8 - Норматив великих кредитних ризиків,Н9 - Норматив максимального розміру кредитного ризику за операціями з пов’язаними особами,Н11 - Норматив інвестування в цінні папери окремо за кожною установою,Н12 - Норматив загальної суми інвестування,Н13-1 - Норматив ризику загальної довгої відкритої валютної позиції,Н13-2 - Норматив ризику загальної короткої відкритої валютної позиції,Коефіцієнт автономії,Адекватність капіталу,Частка резервів під знецінення кредитів,NIM - Чиста процентна маржа,CIR - Ефективність витрат,OROA - Операційна рентабельність,ROA - Рентабельність активів,ROE - Рентабельність власного капіталу,Відношення грошових коштів до зобов'язань,Відношення грошових коштів до активів,Частка ліквідних активів у загальних активах,Частка непрофільних активів банку,Доступ до ресурсів і надійність бенефіціара
2.0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,18.85,36.53,5.66,63.17,2.41,1.28,13.50,3.56,2.73,13.90,4.76,2.00
2.1,1564471,18.92,9.46,180.37,0,19.13,84.16,10.97,0.00,0.01,3.92,0.09,9.76,16.43,42.55,4.90,32.54,6.14,3.51,35.95,2.42,1.87,30.31,3.99,2.00
2.1,1523445,21.71,12.25,195.58,0,18.65,73.65,11.08,0.00,0.01,4.03,0.09,7.97,15.99,50.14,4.22,39.32,4.77,0.85,10.71,5.31,4.04,38.91,3.64,2.00
2.1,1476500,23.61,18.50,224.36,0,13.72,71.66,11.45,0.00,0.01,0.41,4.67,8.61,18.53,30.91,4.89,55.00,3.84,0.06,0.71,5.81,4.83,32.43,3.29,2.00
2.0,1682359,28.08,20.63,265.64,0,17.25,91.06,9.67,0.00,0.01,1.89,0.78,9.74,18.25,30.29,5.47,44.57,4.40,4.42,45.40,5.40,4.44,19.58,3.17,2.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,17.53,11.67,15.92,6.76,60.06,4.11,2.55,14.56,7.90,5.78,12.44,7.43,1.00
2.0,570762,21.92,16.42,200.39,0,21.30,250.19,21.65,0.00,0.00,3.63,0.44,19.85,12.45,15.88,7.42,51.78,5.24,3.68,18.54,12.22,8.61,19.64,7.88,1.00
1.7,543249,23.59,18.52,207.74,0,22.38,238.64,23.66,0.00,0.00,4.77,0.69,18.44,11.99,21.04,7.30,47.67,5.66,1.47,7.95,7.70,5.42,15.33,7.62,1.00
2.0,607235,30.55,27.41,244.57,0,19.80,163.05,19.82,0,0,0.39,0.82,15.72,9.90,25.38,6.63,48.70,4.74,1.62,10.31,9.62,7.15,13.30,5.06,1.00
1.9,910459,48.05,28.76,217.99,0,13.42,48.06,11.61,0,0,3.04,2.84,21.44,10.86,15.56,12.56,14.81,25.05,17.19,80.17,10.81,7.72,19.30,5.53,1.00
2.2,0,0,0,0,0,0,0,0,0,0,0,0,10.21,13.46,1.54,7.19,68.12,2.56,1.90,18.58,6.19,5.49,14.83,4.47,1.00
1.9,635192,12.07,8.05,145.24,0,16.99,63.30,1.99,0.00,0.00,1.74,0.00,10.23,13.21,2.03,6.88,65.64,2.66,1.37,13.44,4.70,4.15,16.08,4.44,1.00
1.9,667194,12.98,8.31,230.70,0,19.98,46.21,1.85,0.00,0.00,0.91,0.00,10.02,12.98,3.34,6.68,58.78,3.34,1.30,12.97,4.24,3.72,16.80,4.17,1.00
2.0,783053,14.86,9.30,237.11,0,16.55,52.34,1.49,0,0,0.51,2.18,10.44,12.11,3.70,7.73,57.16,3.75,1.71,16.39,9.84,8.60,21.65,4.27,1.00
1.9,778588,14.72,9.28,419.54,0,13.26,47.24,1.41,0,0,0.97,3.19,10.04,11.49,3.56,6.87,58.05,3.62,0.92,9.12,9.55,8.35,21.35,3.96,1.00
3.5,0,0,0,0,0,0,0,0,0,0,0,0,10.19,51.08,69.81,8.73,45.06,6.00,3.68,36.11,8.94,5.57,26.74,2.29,4.00
3.1,41722641,17.17,8.59,239.37,0,8.34,0.00,0.01,0.00,0.01,91.47,0.50,15.07,43.50,69.86,8.10,41.24,6.32,2.65,17.59,7.33,4.49,23.07,1.86,4.00
3.2,53663144,23.84,12.47,239.51,0,6.47,0.00,0.01,0.00,0.00,94.15,0.44,10.77,42.00,71.83,8.49,30.36,9.39,3.75,34.84,9.71,6.19,26.58,1.69,4.00
3.2,54523488,23.78,11.90,311.01,0,6.37,0,0.00,0.00,0.00,92.58,1.32,10.52,37.54,71.87,8.47,30.36,9.28,5.50,52.30,8.25,5.50,26.65,1.60,4.00
3.2,54561158,23.06,11.53,504.82,0,6.37,0,0.00,0.00,0.00,106.10,0.28,13.29,36.90,71.98,12.20,19.38,14.78,11.47,86.31,16.07,10.42,33.04,1.57,4.00
1.8,0,0,0,0,0,0,0,0,0,0,0,0,21.97,16.20,19.29,7.57,82.08,2.39,4.94,22.47,6.90,4.83,7.11,3.23,1.00
1.8,614221,32.32,29.61,388.79,0,16.30,120.34,19.38,0.00,0.00,4.16,0.04,22.21,16.67,22.03,8.19,81.24,2.36,1.51,6.79,7.20,4.96,8.24,2.78,1.00
1.8,512917,30.20,30.20,337.64,0,22.82,133.24,11.95,0.00,0.00,2.98,0.39,19.14,15.16,25.04,6.92,78.68,2.52,0.01,0.06,4.71,3.37,6.01,2.20,1.00
1.9,560489,32.88,32.88,458.25,0,16.76,112.00,12.63,0,0,0.60,0.75,18.34,14.28,27.72,6.46,81.36,1.98,0.12,0.68,4.92,3.58,8.29,2.11,1.00
1.9,626948,35.20,31.63,453.05,0,16.88,106.68,21.15,0,0,0.77,0.05,15.79,12.02,28.93,5.98,84.66,1.23,1.22,7.75,6.50,4.95,12.29,1.67,1.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,10.87,6.86,6.23,9.04,55.72,4.54,0.03,0.32,5.09,4.36,8.99,2.57,2.00
1.9,2925903,14.31,11.28,159.57,0,15.67,169.66,14.70,0.00,0.00,4.21,1.27,11.07,6.88,10.28,9.19,41.79,6.93,0.09,0.82,5.08,4.24,10.28,2.43,2.00
2.1,2751060,15.60,13.06,224.42,0,17.28,208.32,16.67,0.00,0.00,3.44,1.05,11.62,7.20,15.13,9.39,35.49,9.24,0.12,1.05,6.22,4.99,20.43,2.49,2.00
2.1,2881156,16.48,13.11,221.06,0,15.85,191.46,2.94,0.00,0.00,0.46,1.51,10.92,6.69,16.97,8.51,39.53,7.53,0.20,1.82,5.93,4.79,13.23,2.30,2.00
1.9,3204206,17.85,12.64,226.82,0,13.40,109.45,2.07,0.00,0.00,4.68,0.59,11.17,6.40,17.57,8.14,53.96,5.13,1.68,15.08,4.53,3.66,16.05,2.51,2.00
2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.82,2.06,28.59,5.33,63.90,3.28,0.02,0.80,7.19,6.69,10.55,2.77,2.00
2.1,465364,15.41,8.90,370.72,0,16.74,106.54,4.65,0.01,0.01,3.07,1.69,3.26,2.37,37.60,6.03,64.39,3.34,0.06,1.94,15.78,14.43,19.50,3.55,2.00
2.0,443280,16.82,10.20,403.62,0,22.31,161.07,4.14,0.01,0.01,3.49,0.68,3.36,2.44,40.29,4.93,66.45,3.31,0.06,1.70,18.78,17.01,20.28,3.66,2.00
2.0,412918,16.76,14.85,317.42,0,20.71,126.99,3.75,0.01,0.01,1.92,2.39,3.40,2.43,44.60,4.53,72.88,2.67,0.10,2.90,18.26,16.51,23.42,3.71,2.00
1.9,395046,16.40,15.19,267.58,0,21.65,151.38,3.08,0.02,0.02,0.72,1.47,3.66,2.58,48.37,6.64,84.48,1.81,0.81,22.15,29.91,26.80,29.50,3.77,2.00
2.0,0,0,0,0,0,0,0,0,0,0,0,0,10.50,5.88,8.14,9.90,80.57,2.70,00.38,03.58,6.64,5.65,40.26,4.64,1.00
2.0,642871,17.01,13.64,318.16,0,16.20,37.10,0.66,0.00,0.00,3.12,0.15,9.88,5.48,11.95,7.66,71.09,3.13,0.03,0.33,4.81,4.10,40.33,4.24,1.00
1.8,490567,15.35,12.61,284.68,0,21.68,91.49,0.88,0.00,0.00,2.57,3.78,10.54,6.77,15.71,7.70,75.44,2.83,01.64,015.58,8.17,6.73,24.77,4.84,1.00
1.8,519292,15.84,13.29,296.34,0,17.04,63.37,0.65,0,0,1.01,0.75,9.09,5.03,17.11,5.37,70.93,2.76,0.35,3.83,6.50,5.56,26.61,3.62,1.00
1.8,583174,16.45,14.27,483.65,0,13.76,46.50,0.56,0,0,0.24,2.46,10.02,5.53,20.29,8.05,69.86,4.42,0.50,4.95,9.47,7.88,45.68,4.02,1.00
1.8,0,0,0,0,0,0,0,0,0,0,0,0,5.72,2.98,3.67,4.14,48.37,4.93,1.72,30.02,4.08,3.79,6.47,1.45,1.00
1.8,504568,18.10,14.93,434.44,0,17.98,249.79,1.51,0.01,0.01,3.86,3.82,6.17,2.76,7.94,3.11,41.57,6.51,1.56,25.26,3.84,3.50,8.26,1.70,1.00
1.8,559215,18.27,13.61,310.01,0,17.27,242.96,0.83,0.01,0.01,4.35,1.13,7.07,3.38,9.07,2.20,48.81,7.10,2.04,28.84,7.48,6.66,10.63,2.01,1.00
1.8,567484,19.98,14.63,449.08,0,20.59,241.37,0.77,0.01,0.01,1.12,2.34,8.95,3.40,7.92,2.42,48.19,7.97,3.02,33.74,5.58,4.85,9.36,2.08,1.00
1.8,586062,18.96,13.42,801.33,0,19.99,218.90,0.63,0.01,0.01,0.86,1.49,10.47,3.39,8.38,5.77,81.34,1.88,1.12,10.67,9.71,8.28,17.54,1.95,1.00
2.0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,8.03,16.43,7.53,56.10,5.61,0.51,4.35,7.56,6.13,11.51,6.18,1.00
1.7,409914,17.82,13.67,129.41,0,19.04,128.61,14.43,0.00,0.00,4.41,1.41,12.88,8.87,19.28,7.47,56.31,5.58,0.31,2.44,9.11,7.14,14.11,6.55,1.00
1.8,393167,18.34,14.67,233.95,0,20.19,159.97,11.50,0.00,0.00,1.66,1.80,13.51,9.29,23.43,7.73,57.75,5.47,0.24,1.78,9.69,7.39,11.81,6.64,1.00
1.9,440574,22.16,16.08,335.74,0,19.77,84.10,6.54,0,0,2.12,2.29,11.58,7.91,28.84,7.02,59.21,4.62,0.24,2.11,10.38,8.14,14.70,5.30,1.00
1.8,423299,23.22,17.50,352.84,0,15.84,52.58,5.53,0,0,0.78,3.55,11.20,7.52,34.81,9.91,49.78,6.41,0.73,6.51,8.19,6.41,12.63,5.08,1.00
2.3,0,0,0,0,0,0,0,0,0,0,0,0,8.84,5.99,5.61,6.34,50.73,5.44,1.63,18.38,5.80,5.14,15.40,4.66,2.00
1.9,833580,13.77,11.54,134.58,0,19.95,259.10,0.38,0.13,0.14,0.64,0.35,9.01,6.41,8.27,5.75,54.61,4.68,0.01,0.10,4.79,4.18,13.71,5.17,2.00
2.0,826316,13.65,11.46,157.53,0,22.10,291.81,0.07,0.13,0.14,2.40,0.00,6.91,5.82,9.62,4.56,55.33,4.09,0.09,1.34,8.05,7.16,18.90,4.64,2.00
2.0,838390,14.17,11.14,194.78,0,21.47,250.41,0.06,0.12,0.13,3.01,0,8.49,6.64,12.72,4.93,56.15,4.82,0.33,3.84,8.52,7.35,25.40,5.40,2.00
1.8,935695,14.94,10.92,175.81,0,21.37,231.95,0.05,0.11,0.12,0.48,0.15,7.86,5.88,13.89,3.44,49.56,6.62,0.88,11.23,7.91,6.82,23.95,5.23,2.00
1.7,0,0,0,0,0,0,0,0,0,0,0,0,22.52,15.90,13.33,5.67,74.87,3.01,04.23,018.79,5.66,4.12,10.85,6.12,1.00
1.3,963590,35.12,30.59,165.78,0,42.22,152.85,5.13,0.24,0.29,16.51,4.57,21.71,17.49,19.62,4.72,86.36,1.20,08.48,039.06,2.86,2.03,11.71,6.58,1.00
1.5,1018576,34.22,29.30,229.11,0,48.51,154.15,4.85,0.25,0.30,20.92,4.91,22.86,17.76,20.48,3.43,79.38,1.93,04.66,020.37,1.90,1.31,8.97,6.57,1.00
1.4,952935,32.17,27.23,234.72,0,51.09,144.52,5.25,0.25,0.30,22.69,4.30,24.50,20.25,19.44,3.14,97.64,0.20,05.54,022.59,2.06,1.38,9.68,7.45,1.00
1.8,1062539,35.81,30.87,179.61,0,29.42,74.47,3.64,0.22,0.27,4.85,4.01,33.88,25.35,23.00,3.46,171.49,06.01,13.44,39.66,15.03,8.84,16.15,8.48,1.00
2.4,0,0,0,0,0,0,0,0,0,0,0,0,12.96,29.28,15.56,8.89,51.26,7.39,2.80,21.58,7.72,6.04,13.10,4.31,1.00
1.8,12341808,14.54,9.92,196.14,0,11.86,78.30,10.04,0.39,3.97,3.55,0.27,11.97,33.85,21.33,10.04,50.01,8.02,05.26,043.94,6.79,5.13,13.33,4.82,1.00
1.8,7711941,11.10,8.96,352.39,0,21.76,214.31,14.59,0.49,3.64,2.02,1.63,10.30,36.37,27.86,10.22,52.44,7.93,06.83,066.35,7.60,5.50,14.48,4.81,1.00
1.7,7180048,11.72,9.29,311.28,0,24.42,252.17,11.25,0.00,0.01,3.68,2.45,7.96,40.90,31.88,10.87,58.50,7.59,09.28,0116.69,7.38,5.31,14.99,5.43,1.00
1.7,6635601,11.55,8.96,524.85,0,26.33,271.72,9.62,0.01,0.01,2.86,2.51,9.52,40.09,33.76,8.91,64.05,5.36,6.23,65.51,10.91,7.75,17.50,5.76,1.00
1.7,0,0,0,0,0,0,0,0,0,0,0,0,8.24,7.67,47.39,0.18,68.95,2.03,01.11,013.51,5.51,4.18,51.58,1.10,1.00
2.0,524867,25.54,19.00,174.82,0,11.38,60.74,1.46,0.00,0.00,3.32,0.00,7.70,7.14,52.22,0.06,34.47,6.38,00.46,05.95,4.52,3.40,60.52,1.02,1.00
1.9,431002,20.28,18.59,220.17,0,16.29,84.26,1.48,0.00,0.00,3.30,0.13,6.07,5.56,47.77,0.09,31.35,5.84,00.14,02.27,7.22,5.90,47.63,0.65,1.00
1.9,421394,23.62,22.40,272.85,0,21.11,86.10,1.36,0,0,2.71,0.07,7.06,6.12,40.58,2.13,34.67,5.83,0.11,1.57,10.57,8.88,39.23,0.72,1.00
1.7,434658,23.12,20.88,232.38,0,20.18,91.63,22.13,0,0,2.15,0.01,5.82,5.03,40.64,2.89,47.39,2.73,0.10,1.68,9.58,8.22,33.92,0.70,1.00
3.3,0,0,0,0,0,0,0,0,0,0,0,0,27.17,5.22,2.21,4.27,36.32,3.22,01.39,05.11,14.22,10.24,18.66,0.92,4.00
3.2,3567934,76.51,38.25,491.54,0,15.75,28.08,0.03,0.00,0.00,0.65,0.02,30.58,6.10,7.53,6.62,34.78,5.58,03.20,010.46,2.97,1.97,9.31,1.02,4.00
3.4,3471565,68.68,35.29,666.32,0,16.22,61.51,0.02,0.00,0.00,3.12,0.16,28.21,5.18,9.50,8.51,27.94,6.99,1.17,4.14,7.72,5.30,20.22,0.92,4.00
3.4,3567062,93.97,46.98,533.78,0,15.80,22.48,0,0,0,0.07,1.59,27.86,4.77,8.70,9.23,26.95,7.50,2.71,9.73,5.27,3.64,14.46,0.81,4.00
3.2,3566784,65.18,32.59,461.86,0,19.09,45.80,0.02,0,0,0.29,3.65,23.09,3.69,9.07,10.65,17.15,8.93,6.39,27.66,3.83,2.84,32.73,0.59,4.00
2.0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,6.07,9.08,1.12,70.36,1.61,00.53,07.09,5.59,4.93,51.96,0.99,2.00
1.7,936433,14.01,7.25,89.19,0,24.94,270.05,3.50,0.01,0.01,79.54,1.24,8.01,6.73,10.25,0.02,64.35,2.06,00.74,09.28,6.36,5.51,46.14,0.98,2.00
1.8,1000208,17.30,8.68,196.58,0,24.08,234.45,2.72,0.02,0.02,4.80,1.73,8.57,6.79,13.29,02.08,47.48,4.17,0.37,4.32,2.37,2.01,46.69,0.90,2.00
1.9,1001189,15.90,7.95,360.16,0,23.38,234.71,2.83,0.02,0.02,0.97,1.94,9.78,7.39,17.39,01.70,47.18,6.67,0.76,7.78,1.41,1.15,11.75,2.19,2.00
1.6,960729,16.66,8.65,265.06,0,20.31,210.75,3.18,0.02,0.02,2.10,1.34,8.55,6.34,19.48,4.02,70.47,1.87,0.67,7.81,5.43,4.55,14.55,1.78,2.00
3.1,0,0,0,0,0,0,0,0,0,0,0,0,13.93,8.32,11.59,8.48,34.98,6.43,04.49,032.25,7.05,5.62,17.61,1.95,4.00
3.0,10191765,20.25,14.16,168.44,0,8.32,20.47,20.47,0.01,0.01,1.01,0.25,13.93,8.46,15.75,8.74,32.57,7.18,02.14,015.37,5.82,4.56,23.73,1.70,4.00
2.9,10353094,23.28,16.06,196.65,0,9.14,14.83,14.83,0.01,0.01,1.51,0.19,14.04,7.89,19.71,8.71,30.26,7.42,00.03,00.20,6.82,5.27,25.43,1.53,4.00
3.0,11452081,27.75,17.60,258.49,0,8.42,13.60,13.60,0.01,0.01,0.29,1.14,12.78,6.80,23.35,8.09,28.92,7.02,0.66,5.13,5.98,4.73,26.36,1.46,4.00
3.1,12522999,32.74,18.91,279.65,0,7.41,0,8.21,0.01,0.01,0.25,0.10,13.87,6.55,25.28,10.01,25.98,8.22,6.18,44.54,8.51,6.66,29.88,1.39,4.00
3.2,0,0,0,0,0,0,0,0,0,0,0,0,11.53,4.58,3.62,8.73,58.98,4.27,00.38,03.33,13.09,11.30,22.01,3.43,4.00
2.9,15218062,16.24,8.77,277.45,0,9.61,0.00,5.66,0.01,0.01,3.77,0.58,11.24,4.29,5.46,8.61,50.38,5.22,0.88,7.80,10.72,9.21,24.52,3.08,4.00
2.9,14133879,15.44,8.82,311.56,0,14.75,51.09,10.14,0.01,0.02,4.09,0.32,11.41,3.92,7.10,8.91,42.26,6.56,2.04,17.85,9.08,7.72,21.99,2.84,4.00
3.0,15223152,18.62,15.58,305.96,0,15.18,67.06,1.61,0.01,0.01,3.27,0.17,9.65,3.49,13.45,9.20,40.64,6.51,0.88,9.09,12.36,10.52,25.51,2.53,4.00
3.0,17316273,21.10,15.52,358.02,0,13.30,47.39,10.56,0.01,0.01,4.15,0.15,11.10,3.57,15.10,11.92,36.41,8.43,4.79,43.13,18.30,15.21,33.87,2.58,4.00
3.3,0,0,0,0,0,0,0,0,0,0,0,0,9.38,8.33,0.37,4.42,69.13,1.51,0.66,7.07,10.75,9.72,44.04,0.63,4.00
2.9,359696,54.84,49.89,252.25,0,20.76,58.02,5.24,0.00,0.00,3.90,0.00,7.91,6.48,0.02,4.66,63.15,2.06,1.47,18.54,3.16,2.91,31.44,0.44,4.00
3.0,440349,64.93,48.09,227.65,0,18.48,36.84,4.64,0.00,0.00,3.14,0.00,8.15,5.53,0.02,5.49,45.66,3.51,2.71,33.21,3.70,3.40,34.61,0.37,4.00
3.0,529665,99.64,61.44,238.19,0,18.41,18.41,4.40,0,0,3.37,0.05,9.78,5.68,0.02,6.73,41.66,4.44,3.49,35.70,3.40,3.07,26.07,0.36,4.00
3.0,578775,103.68,58.53,509.24,0,17.24,31.96,0.65,0,0,3.31,0,10.44,5.33,0.02,9.07,31.36,6.32,5.06,48.50,7.32,6.56,27.40,0.30,4.00
2.7,0,0,0,0,0,0,0,0,0,0,0,0,27.68,5.83,47.75,48.12,27.97,33.83,5.17,18.69,2.01,0.81,2.87,4.70,4.00
2.9,1498246,17.43,8.96,245.26,0,4.79,0.00,0.02,0.00,0.00,0.06,0.42,27.89,5.87,49.39,46.86,24.65,34.44,2.62,9.40,2.23,0.90,2.76,4.51,4.00
2.9,1346575,22.23,21.79,352.29,0,7.56,0.00,0.08,0.00,0.00,0.04,0.27,23.46,6.14,56.45,48.53,24.51,35.30,05.79,024.67,2.53,1.00,3.79,4.59,4.00
2.9,794521,15.46,14.94,303.15,0,14.28,14.28,0.02,0,0,0.06,0.16,17.81,7.07,65.42,56.96,25.32,39.29,014.23,079.91,2.83,1.04,3.58,5.65,4.00
2.9,771767,15.56,15.04,271.18,0,14.35,14.35,0.03,0,0,0.06,0.45,21.44,7.30,64.86,45.03,35.92,26.26,12.29,57.31,7.93,2.77,5.54,5.91,4.00
2.6,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0.56,4.78,5.10,22.01,6.12,01.03,012.34,3.19,2.87,36.34,0.29,4.00
3.0,2065036,34.68,17.34,278.74,0,15.33,83.43,0.20,0.00,0.00,2.53,0.21,8.93,0.54,6.82,5.97,22.33,6.14,1.27,14.21,4.39,3.90,27.17,0.28,4.00
3.0,2065942,32.38,16.19,262.07,0,17.36,91.57,0.57,0.00,0.00,0.98,0.29,9.27,0.42,7.04,7.33,15.90,7.35,4.25,45.86,5.29,4.72,25.04,0.21,4.00
3.0,2064761,32.57,16.28,273.05,0,12.51,45.68,0.55,0,0,1.01,0.16,11.00,0.39,8.59,8.34,15.16,8.03,5.48,49.81,4.18,3.67,31.15,0.20,4.00
2.9,2062406,38.03,19.01,309.43,0,14.71,31.55,0.65,0,0,0.60,1.25,11.80,0.34,13.04,12.47,12.47,11.32,9.44,80.00,4.09,3.56,23.37,0.17,4.00
